,adaptation,avg_isi,electrode_0_pa,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,has_burst,has_delay,has_pause,id,input_resistance_mohm,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,rheobase_sweep_id,rheobase_sweep_number,ri,sag,seal_gohm,slow_trough_t_long_square,slow_trough_t_ramp,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_v_ramp,slow_trough_v_short_square,specimen_id,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,thumbnail_sweep_id,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest
1256,,58.6,-36.7399964618,0.0950757729011,1.10168,11.1338333333,1.025875,-48.1250038147,-47.1354179382,-56.7421913147,False,False,False,497613796,165.045216,0.03786,1.09924,11.1314266667,1.023705,29.59375,30.8750006358,37.585940361,497612884,49,120.624959469,0.117600135505,2.555280128,,11.1524266667,1.12937,,-49.5208346049,-80.875005722,497611660,12.6449060915,350.0,252.749989827,989.999938965,1.09854,11.1306266667,1.02315,-31.40625,-30.3645846049,-50.406252861,497612888,1.1019,11.1524266667,1.12937,-48.3125038147,-49.5208346049,-80.875005722,2.12103455459,1.79787086348,2.39700535822,-93.90625,-80.4029312134
1257,-0.00765139142949,37.5112,-12.1124993716,0.312106300296,1.47392,8.5146,1.028415,-52.6562538147,-49.4583358765,-60.1093769073,False,False,False,527510277,156.572112,0.03728,1.46966,8.51098666667,1.023485,19.0000019073,21.9687519073,23.5546889305,527465564,50,95.1562523842,0.0649742335081,1.10367424,1.48048,8.52064666667,1.361445,-54.875,-52.2395858765,-75.3671894073,527464013,5.89797049749,180.0,187.5,650.0,1.46908,8.51046,1.023055,-43.0937538147,-41.1041666667,-45.8750019073,527465550,1.48048,8.52064666667,1.361445,-54.875,-52.2395858765,-75.3671894073,3.00795722776,3.43915209229,2.37197424644,-85.7812576294,-75.434463501
1258,0.057443746113,64.9885714286,5.76249985229,0.252278481013,1.166,2.71436,1.02496666667,-54.8437538147,-53.989587148,-54.8697948456,False,False,False,531542486,178.341696,0.02884,1.16424,2.71255333333,1.02341,43.5000038147,44.2812512716,42.3177089691,531532050,41,185.000032187,0.183132901788,1.210890112,,2.76014666667,,,-56.4479204814,,531523518,23.6757510884,40.0,42.2916666667,430.0,1.16374,2.71202,1.02294,-42.59375,-42.8020858765,-47.6354179382,531532030,1.22278,2.76014666667,1.15371666667,-59.34375,-56.4479204814,-67.739587148,3.40034823112,3.33904469865,3.17119887252,-88.8437576294,-66.4641342163
1259,0.0227018135206,74.42125,2.42499987105,0.183333333333,1.172535,2.93413,1.02535833333,-48.2812538147,-49.3020858765,-51.5937519073,False,False,False,488401731,239.364368,0.046205,1.170565,2.93215,1.02351583333,49.78125,48.4479192098,48.1666692098,488401175,31,271.87499404,0.101578496397,2.253369856,,2.97632833333,,,-49.9791679382,,488400701,32.7699951271,70.0,47.7916666667,509.999969482,1.169945,2.93148,1.02295833333,-34.46875,-35.4791679382,-45.3229173024,488401179,1.172545,2.96342333333,1.5627825,-48.40625,-50.0208358765,-68.6770846049,2.73233126871,2.74112946727,2.95024240182,-98.0625076294,-68.0699081421
1260,0.0157505755574,114.108571429,8.83249983569,0.157618215458,1.19478,5.35878666667,1.025765,-43.6562538147,-46.958337148,-49.2890625,False,False,False,518294567,141.880352,0.08362,1.19182,5.35600666667,1.02351,38.84375,40.8958358765,38.875002861,518293105,54,125.781327486,0.138712525368,1.46773632,1.24618,5.41024666667,1.215695,-56.0,-57.552087148,-73.1093788147,518290966,23.4138185733,110.0,108.374997457,1110.0,1.19138,5.35558,1.023125,-34.78125,-38.1458358765,-41.7890644073,518293109,1.24618,5.41024666667,1.215695,-56.0,-57.552087148,-73.109380722,4.13375710505,3.99791212548,3.70312732579,-86.7812576294,-72.150680542
1261,,13.3,-19.864998535,1.04948455111,1.04006,9.43529,1.024125,-62.0312538147,-57.15625,-62.9843788147,False,False,False,509633391,249.662016,0.01008,1.0393,9.43441,1.02341,14.5312509537,10.8593754768,21.7812504768,509624560,34,150.000110269,0.0468629747629,1.094335872,1.14422,,1.44919,-44.90625,,-72.9453144073,509617624,7.75330557053,170.0,210.3125,420.0,1.03898,9.43403,1.02313,-32.625,-30.0000009537,-44.257815361,509624564,1.04012,9.43544,1.44919,-62.125,-57.3437519073,-72.9453144073,1.17546094082,1.09649620665,1.39432781626,-88.6562576294,-71.8766479492
1262,,6.92,4.42249969285,0.0338111360572,1.12218,21.4560133333,1.02540857143,-53.03125,-57.1041692098,-53.2455384391,False,False,False,539879570,38.681488,0.05592,1.12028,21.4539733333,1.02369428571,46.3750038147,47.2916704814,43.0625021798,539559144,87,27.499999851,0.209774076939,1.28797952,,,,,,,539556162,16.6567428765,400.0,510.833333333,2320.0,1.11976,21.4534466667,1.02317714286,-44.5625038147,-46.0208333333,-48.075895037,539559122,1.22112,21.4562466667,1.11290857143,-59.34375,-57.3125038147,-74.2544653756,3.38386032769,3.42909332905,3.22479417706,-76.3125076294,-72.5386352539
1263,0.0121303960415,41.5330434783,18.8368747683,0.552127701382,1.09369,6.06077875,1.024079,-58.46875,-57.8984384537,-60.4687522888,False,False,False,484589096,261.690432,0.03375,1.09294,6.05996625,1.023334,29.3125,27.4375014305,31.0562515259,484582228,32,181.562542915,0.125875905156,4.269533696,,,1.272448,,,-81.0250045776,484571248,13.8579179702,110.0,125.968748093,288.0,1.09262,6.05960125,1.023009,-32.28125,-32.3671898842,-44.6562515259,484582232,1.09373,6.06082125,1.272448,-58.5625038147,-58.0078163147,-81.0250045776,1.31053373846,1.2455793743,1.41524092099,-99.875,-80.0200653076
1264,0.0419727456134,102.924444444,-29.4349995766,0.265094330548,1.222,3.09586,1.02503,-64.5625,-64.2395884196,-65.5,False,False,False,576137200,204.1356,0.05902,1.2205,3.09396,1.02358,40.75,33.625,32.6093769073,576128228,45,206.562384963,0.0405825674534,1.288976896,,,,,,,576120017,31.6893713757,50.0,51.8333320618,680.0,1.22,3.09341333333,1.02316,-35.5,-35.2812525431,-37.1562519073,576128235,1.22222,3.09651333333,1.59501,-64.7812576294,-64.6458358765,-71.7343826294,1.90700904547,1.77213693727,1.80572246256,-95.375,-71.7164840698
1265,0.0947445591218,116.7675,5.38500017147,0.154053271569,1.14254,3.98959,1.02488,-44.5,-46.6562538147,-50.4000022888,False,False,False,508962980,193.118864,0.04566,1.14056,3.98784,1.0234,44.28125,44.8281288147,43.2937522888,508919896,41,155.312567949,0.105902209878,1.331665664,1.21824,,1.179556,-55.4687538147,,-72.1062530518,508911693,18.405873261,90.0,74.1875,880.0,1.14016,3.98742,1.023052,-39.9062538147,-40.171875,-45.6562515259,508919900,1.21824,3.98985,1.179556,-55.4687538147,-46.8281269073,-72.1062530518,4.12809915642,3.90704853451,3.68757991586,-89.0,-71.3704452515
