,average_bifurcation_angle_local,average_bifurcation_angle_remote,average_contraction,average_diameter,average_fragmentation,average_parent_daughter_ratio,hausdorff_dimension,id,max_branch_order,max_euclidean_distance,max_path_distance,neuron_reconstruction_type,number_bifurcations,number_branches,number_nodes,number_stems,number_tips,overall_depth,overall_height,overall_width,scale_factor_x,scale_factor_y,scale_factor_z,soma_surface,specimen_id,total_length,total_surface,total_volume
242,73.1050515359,,0.905809845481,0.522876868628,80.09,0.972568505512,,569861709,13.0,569.588207931,642.573921374,full,50,109,8289,9,59,116.1823,688.963341364,546.053934355,0.1144,0.1144,0.28,336.118017405,537218493,9711.84926882,16194.6831982,2343.02952852
243,74.1023974707,,0.903783659116,0.46368114747,62.1470588235,0.878409707582,,505206400,3.0,271.453414497,302.441584743,full,16,40,2171,6,23,54.7025,474.748713364,484.7973348,0.1144,0.1144,0.28,844.517391907,490382353,2535.44226812,3696.31616088,487.399924858
244,66.1176954997,,0.923531282171,0.330107601969,81.8611111111,0.952555264527,,491771079,4.0,332.043566612,359.616142371,dendrite-only,18,43,3174,7,25,93.8165,388.525411266,392.147574281,0.1144,0.1144,0.28,801.589268066,467782778,3644.17247761,3788.53066166,336.576237868
245,71.6622894362,,0.887392274718,0.59953074519,80.5294117647,0.961921771044,,610882094,7.0,367.752369832,426.12988354,full,17,38,2773,4,21,113.3286,630.043987453,300.254580045,0.1144,0.1144,0.28,153.23361755,595570553,3308.46773241,6416.34514463,1175.25811195
246,74.0388381501,,0.882853384028,0.40114517178,37.2954545455,0.829636923321,,496001061,18.0,577.403380557,742.398747755,dendrite-only,44,97,3492,9,53,167.5436,663.187174642,297.625580772,0.1144,0.1144,0.28,336.208970065,485574832,4107.17428608,5185.19776572,598.831025257
247,68.888041931,,0.86217276098,0.295607360583,62.1704545455,0.837475969791,,495335447,11.0,601.824711313,655.270261331,dendrite-only,44,97,5567,9,53,165.7706,729.946489261,356.342110498,0.1144,0.1144,0.28,334.686468881,354190013,5953.05890524,5559.34373123,447.70294303
248,115.432036278,,0.809083820303,0.540706665464,53.1666666667,1.0,,608103642,4.0,211.680958979,319.143627399,full,6,13,652,1,7,88.2706,203.465712331,204.075020813,0.1144,0.1144,0.28,639.578481563,596028822,756.853311152,1287.22069859,176.790732893
249,77.4983992636,,0.915318149123,0.266210677635,36.0925925926,0.918144177838,,495889950,9.0,443.784908319,459.61561613,dendrite-only,27,60,2038,6,33,72.52,490.580492496,225.868052697,0.1144,0.1144,0.28,97.074760528,476616076,2491.07886167,2086.97303395,150.192911096
250,66.2656122631,,0.918059788685,0.429666053819,42.1875,0.887237779606,,519262122,7.0,353.585497945,410.165346294,dendrite-only,32,70,2756,6,38,83.44,441.217958085,263.01925785,0.1144,0.1144,0.28,402.041552178,510658021,3188.48274178,4299.2551136,542.40425329
251,68.232118185,,0.854840824705,0.751134435816,45.7419354839,0.857063748849,,492413318,17.0,849.961878546,928.363812279,dendrite-only,31,67,3063,5,36,95.9885,895.312841061,365.270343341,0.1144,0.1144,0.28,402.09944249,471789504,3663.89625005,8645.70280495,1906.58045115
252,64.0418745445,,0.900890173456,0.143875161951,48.75,0.959255679247,,491119484,4.0,173.483700258,197.009916091,full,18,42,1831,6,24,75.88,256.262587249,233.544988284,0.1144,0.1144,0.28,81.688935645,333604946,2163.10026183,979.330115909,35.713918657
253,71.9018253805,,0.833180088544,0.592176064563,84.5875,1.0,,569309787,9.0,510.398322588,613.884742262,full,40,88,6869,8,48,113.0629,492.486881198,623.054046026,0.1144,0.1144,0.28,590.729231639,541563728,7970.05879767,14829.5433686,2489.41526062
254,72.2732716778,,0.895997665256,0.602058945376,64.1679389313,0.798919461165,,549379618,13.0,865.612987257,939.749646698,full,66,139,8513,7,73,92.96,1024.80152084,508.044675721,0.1144,0.1144,0.28,913.943762925,520454345,9657.54488908,18270.3908766,3178.83787604
255,72.051526231,,0.902934853099,0.460781049416,48.7738095238,0.872537618931,,496001050,16.0,595.345393471,741.393772761,dendrite-only,42,91,4200,7,49,138.927,709.046371879,344.702323188,0.1144,0.1144,0.28,557.816895031,485880739,5002.38896547,7175.83633934,1012.08837518
